feature,proba_low,proba_base,proba_high,swing_range
coal_flow_roll_max_3h,0.29168305,0.29474932,0.54421484,0.2525318
coal_flow_tph,0.29474932,0.29474932,0.46077135,0.16602203
coal_flow_lag1,0.29474932,0.29474932,0.36980474,0.07505542
beban_netto_mw,0.29474932,0.29474932,0.355483,0.060733676
cv_blend_kcal_kg,0.29474932,0.29474932,0.30521396,0.0104646385
coal_flow_roll_mean_12h,0.29474932,0.29474932,0.29474932,0.0
coal_flow_roll_std_3h,0.29474932,0.29474932,0.29474932,0.0
coal_flow_lag2,0.29474932,0.29474932,0.29474932,0.0
coal_flow_roll_mean_3h,0.29474932,0.29474932,0.29474932,0.0
coal_flow_delta_1h,0.29474932,0.29474932,0.29474932,0.0
rasio_mrc,0.29474932,0.29474932,0.29474932,0.0
cv_blend_roll_mean_7d,0.29474932,0.29474932,0.29474932,0.0
rasio_lrc,0.29474932,0.29474932,0.29474932,0.0
hop_hari_inventory,0.29474932,0.29474932,0.29474932,0.0
hop_depletion_rate_1d,0.29474932,0.29474932,0.29474932,0.0
hop_below_combined_safety,0.29474932,0.29474932,0.29474932,0.0
beban_forecast_168h_mw,0.29474932,0.29474932,0.29474932,0.0
boros_mrc_indicator,0.29474932,0.29474932,0.29474932,0.0
deviasi_roh_redispatch_pct,0.29474932,0.29474932,0.29474932,0.0
roh_data_available,0.29474932,0.29474932,0.29474932,0.0
hour,0.29474932,0.29474932,0.29474932,0.0
day_of_week,0.29474932,0.29474932,0.29474932,0.0
is_weekend,0.29474932,0.29474932,0.29474932,0.0
is_holiday,0.29474932,0.29474932,0.29474932,0.0
month,0.29474932,0.29474932,0.29474932,0.0
