feature,proba_low,proba_base,proba_high,swing_range
hop_hari_inventory,0.5921817,0.14490286,0.14490286,0.44727883
cv_blend_roll_mean_7d,0.15911607,0.14490286,0.13819106,0.020925015
rasio_mrc,0.15377553,0.14490286,0.14490286,0.008872673
day_of_week,0.14490286,0.14490286,0.1478176,0.0029147416
coal_flow_roll_mean_12h,0.14490286,0.14490286,0.14490286,0.0
coal_flow_roll_mean_3h,0.14490286,0.14490286,0.14490286,0.0
coal_flow_roll_std_3h,0.14490286,0.14490286,0.14490286,0.0
coal_flow_roll_max_3h,0.14490286,0.14490286,0.14490286,0.0
coal_flow_tph,0.14490286,0.14490286,0.14490286,0.0
cv_blend_kcal_kg,0.14490286,0.14490286,0.14490286,0.0
coal_flow_delta_1h,0.14490286,0.14490286,0.14490286,0.0
coal_flow_lag2,0.14490286,0.14490286,0.14490286,0.0
coal_flow_lag1,0.14490286,0.14490286,0.14490286,0.0
hop_depletion_rate_1d,0.14490286,0.14490286,0.14490286,0.0
hop_below_combined_safety,0.14490286,0.14490286,0.14490286,0.0
beban_netto_mw,0.14490286,0.14490286,0.14490286,0.0
rasio_lrc,0.14490286,0.14490286,0.14490286,0.0
beban_forecast_168h_mw,0.14490286,0.14490286,0.14490286,0.0
boros_mrc_indicator,0.14490286,0.14490286,0.14490286,0.0
roh_data_available,0.14490286,0.14490286,0.14490286,0.0
deviasi_roh_redispatch_pct,0.14490286,0.14490286,0.14490286,0.0
hour,0.14490286,0.14490286,0.14490286,0.0
is_weekend,0.14490286,0.14490286,0.14490286,0.0
is_holiday,0.14490286,0.14490286,0.14490286,0.0
month,0.14490286,0.14490286,0.14490286,0.0
